logFC,AveExpr,t,P.Value,adj.P.Val,B
-10.120229432101842,5.06011471605092,-817.036101271152,3.700240466628636e-13,8.832844017889217e-9,16.565771782636943
-8.812842840453298,4.406421420226648,-419.48002956532895,8.183254117679198e-12,6.331861862271376e-8,16.101713978686195
-8.71302472130329,4.356512360651644,-395.6834512920018,1.0733040290645785e-11,6.331861862271376e-8,16.03062333185493
-10.190631226975878,5.09531561348794,-378.90589444407016,1.3125420281267731e-11,6.331861862271376e-8,15.97356034727364
-8.214968654656387,4.107484327328193,-378.0581890517098,1.326266570791206e-11,6.331861862271376e-8,15.97050659637408
-8.279335960036926,4.139667980018463,-353.8035961822117,1.8045581334213405e-11,7.179434533816804e-8,15.87529467522744
-7.9106730868171615,3.9553365434085808,-317.7721802545413,2.97174026803908e-11,1.013405884833727e-7,15.700198244020115
-9.698705470867363,4.849352735433681,-304.09325099223406,3.6455142440533314e-11,1.0877758814974634e-7,15.620543986354157
-5.764564042500023,2.8822820212500115,-269.01528524652906,6.441263805334902e-11,1.7084378699683274e-7,15.372754666193497
7.143812120410522,3.5719060602052615,262.19635759112856,7.256971517089488e-11,1.7323116708444317e-7,15.315838544410678
7.212404606212939,3.7618182590651275,251.13029971758817,8.866039669825261e-11,1.9240112087127163e-7,15.216222129058867
6.960635698878385,3.480317849439192,233.21151291324813,1.2503604136087437e-10,2.487279452771193e-7,15.033262630244373
-5.6048176519876876,2.8024088259938438,-223.74520263102121,1.5156953843244594e-10,2.591536809992286e-7,14.924166232470874
-4.057986593878259,2.02899329693913,-223.61180157274168,1.5198992643748482e-10,2.591536809992286e-7,14.922560826530116
-8.812940491536867,5.193996446807794,-218.54365297391786,1.6906504558012975e-10,2.623728859946533e-7,14.860088781720709
5.924954337819886,2.962477168909943,216.69703582475242,1.7586050755789255e-10,2.623728859946533e-7,14.836590206719997
3.8504284127986526,1.9252142063993265,206.36322898785417,2.2065729533344655e-10,3.098417821708649e-7,14.697326363770582
-3.6892116573666582,1.8446058286833291,-199.95042454305724,2.554981677461462e-10,3.1185823284319576e-7,14.603775026521923
-3.909838784330254,1.954919392165127,-196.40586577339874,2.776270783264089e-10,3.1185823284319576e-7,14.549527414015678
-8.596584057910018,4.298292028955009,-195.46583180716507,2.8388212826699115e-10,3.1185823284319576e-7,14.534823879834786
5.993340918379974,2.9966704591899878,194.10067221308782,2.9327393999703837e-10,3.1185823284319576e-7,14.513228569730696
-5.169116574522893,2.5845582872614465,-194.00291459396732,2.939608582669993e-10,3.1185823284319576e-7,14.51167103866949
-5.99369975804808,2.9968498790240394,-191.99384190959975,3.085209907593539e-10,3.1185823284319576e-7,14.47932766736108
-5.888638634076505,2.944319317038253,-191.32738764958296,3.135435293132545e-10,3.1185823284319576e-7,14.468456478767692
-3.95473444375569,1.9773672218778449,-189.03004285877734,3.316358722386545e-10,3.1665919624835686e-7,14.43042811232539
2.515922658675244,13.54768117981615,181.14648881672835,4.0418342685128687e-10,3.6897759140601604e-7,14.293094637963115
-8.91159697428424,4.45579848714212,-177.68251285541058,4.4209812981263025e-10,3.6897759140601604e-7,14.229205952601468
3.2542542064370332,7.373285192021779,177.42893543849974,4.4503995779363636e-10,3.6897759140601604e-7,14.224439756117356
-4.415724173089506,2.2787240462297285,-176.2209931801185,4.593846574026488e-10,3.6897759140601604e-7,14.20156473155409
-7.996010502180408,3.9980052510902038,-175.8653694617314,4.637144544501898e-10,3.6897759140601604e-7,14.19477601709356
-5.380453363680061,9.82728775642018,-172.8404174181628,5.026228917795301e-10,3.870358403119085e-7,14.136014084991626
-3.7470448649134878,1.8735224324567439,-165.40591289616063,6.164711900103128e-10,4.548692507785332e-7,13.983485381063371
-4.869872067659246,2.4534225836601444,-164.70068687921773,6.288251550287627e-10,4.548692507785332e-7,13.96838816493321
-8.175667405745488,4.087833702872744,-163.44642187008012,6.515492494627978e-10,4.5744506276254257e-7,13.941256815926991
-5.999113157721392,2.999556578860696,-160.87721897137232,7.012944882166258e-10,4.783028779491164e-7,13.884537444656985
-4.335420173425437,5.694352503986531,-158.9100271522166,7.425285284651781e-10,4.923582917497852e-7,13.840041416981634
-4.141329702293694,2.7183446874470234,-154.25800109098066,8.523812205159545e-10,5.349283553129432e-7,13.730977240116538
