EGW08_000195	117	61	56
EGW08_000196	41	23	18
EGW08_000197	11	8	3
EGW08_000198	13	7	6
EGW08_000199	180	100	80
EGW08_000200	5	1	4
EGW08_000201	494	249	245
EGW08_000202	137	71	66
EGW08_000203	71	32	39
EGW08_000204	64	30	34
EGW08_000205	152	67	85
EGW08_000206	21	9	12
EGW08_000207	238	130	108
EGW08_000208	149	76	73
EGW08_000209	274	126	148
EGW08_000210	6	3	3
EGW08_000211	53	25	28
EGW08_000212	0	0	0
EGW08_000213	11	6	5
EGW08_000214	0	0	0
EGW08_000215	66	34	32
EGW08_000216	33	15	18
EGW08_000217	9	27	31
EGW08_000218	4	29	24
EGW08_000219	14	4	10
EGW08_000220	888	475	413
EGW08_000221	26	12	14
EGW08_000222	27	11	16
EGW08_000223	55	26	29
EGW08_000224	0	0	0
EGW08_000225	150	69	81
EGW08_000226	1095	560	535
EGW08_000227	65	34	31
EGW08_000228	3	2	1
EGW08_000229	210	103	107
EGW08_000230	356	192	164
EGW08_000231	6	5	1
EGW08_000232	17	10	7
EGW08_000233	153	72	81
EGW08_000234	6	2	4
EGW08_000235	11	4	7
EGW08_000236	384	187	197
EGW08_000237	0	0	0
EGW08_000238	0	0	0
EGW08_000239	1	1	0
EGW08_000240	356	177	179
EGW08_000241	0	0	0
EGW08_000242	14	6	8
EGW08_000243	8	6	2
EGW08_000244	72	39	33
EGW08_000245	994	539	455
EGW08_000246	0	0	0
EGW08_000247	0	0	0
EGW08_000248	92	53	39
EGW08_000249	26	11	15
EGW08_000250	57	29	28
EGW08_000251	293	141	152
EGW08_000252	0	0	0
EGW08_000253	18	12	6
EGW08_000254	55	26	29
EGW08_000255	5	5	0
EGW08_000256	49	19	30
EGW08_000257	8	6	2
EGW08_000258	0	0	0
EGW08_000259	0	0	0
EGW08_000260	0	0	0
EGW08_000261	0	0	0
EGW08_000262	0	0	0
EGW08_000263	1	1	0
EGW08_000264	0	0	0
EGW08_000265	0	0	0
EGW08_000266	12	20	17
EGW08_000267	0	10	15
EGW08_000268	0	0	0
EGW08_000269	21	9	12
EGW08_000270	6	3	3
EGW08_000271	4	3	1
EGW08_000272	0	0	0
EGW08_000273	2	1	1
EGW08_000274	0	0	0
EGW08_000275	31	13	18
EGW08_000276	0	0	0
EGW08_000277	0	0	0
EGW08_000278	0	0	0
EGW08_000279	609	336	273
EGW08_000280	69	30	39
EGW08_000281	7	5	2
EGW08_000282	183	93	90
EGW08_000283	28	10	18
EGW08_000284	0	0	0
EGW08_000285	7	5	2
EGW08_000286	171	82	89
EGW08_000287	8	2	6
EGW08_000288	1	1	0
EGW08_000289	0	0	0
EGW08_000290	2	2	0
EGW08_000291	694	370	324
EGW08_000292	36	21	15
EGW08_000293	7	4	3
EGW08_000294	32	55	43
EGW08_000295	0	26	28
EGW08_000296	0	5	7
EGW08_000297	0	0	0
EGW08_000298	1278	651	627
EGW08_000299	57	34	23
EGW08_000300	0	0	0
EGW08_000301	5	4	1
EGW08_000302	13	1	12
EGW08_000303	8	2	6
EGW08_000304	30	10	20
EGW08_000305	192	83	109
EGW08_000306	6	6	0
EGW08_000307	2229	1097	1132
EGW08_000308	6	3	3
EGW08_000309	25	14	11
EGW08_000310	1	1	0
EGW08_000311	4	2	2
EGW08_000312	2	2	0
EGW08_000313	32	16	16
EGW08_000314	18	9	9
EGW08_000315	0	0	0
EGW08_000316	117	63	54
EGW08_000317	183	87	96
EGW08_000318	236	132	104
EGW08_000319	0	0	0
EGW08_000320	0	0	0
EGW08_000321	47	22	25
EGW08_000322	10	6	4
EGW08_000323	219	103	116
EGW08_000324	20	9	11
EGW08_000325	5	3	2
EGW08_000326	1	1	0
EGW08_000327	65	34	31
EGW08_000328	0	0	0
EGW08_000329	0	0	0
EGW08_000330	14	5	9
EGW08_000331	181	96	85
EGW08_000332	16	11	5
EGW08_000333	101	56	45
EGW08_000334	2	1	1
EGW08_000335	5	3	2
