Row.names,logFC,AveExpr,t,P.Value,adj.P.Val,B,UNIPROTKB
EGW08_002954,-1.3184767388421472,0.6875147890735862,-21.747323056065362,7.484029486240923e-6,1.2760804847575504e-4,3.8550835663834313,A0A3S1ADS0
EGW08_002955,-1.2118689392621822,0.6793279752951127,-14.594601498725853,4.661298689139387e-5,4.4525754705260624e-4,1.6531041516712097,A0A433U623
EGW08_002957,-1.3699833751955974,1.160447064558651,-16.90058380282541,2.3838272190553108e-5,2.8100908417812013e-4,2.461304953646616,A0A433U639
EGW08_002961,0.8408275749854974,4.185763820979283,18.542326170446085,1.5581209136700137e-5,2.0697776477583138e-4,2.9733645010172456,A0A433U634
EGW08_002962,-1.9412037243122748,8.143668902260835,-39.736663539539514,4.6146418820362895e-7,2.1435885432493954e-5,7.171277090556053,A0A3S1CCX1
EGW08_002966,-0.9919412677472839,1.6567318106131297,-7.521428704594463,9.044957700184453e-4,0.003915708836799113,-1.917138593080371,A0A433U633
EGW08_002976,-3.595760231694965,1.8470758459010426,-64.93792340911735,4.731662323049547e-8,5.323850951647362e-6,9.784966474503989,A0A3S0ZYI9
EGW08_002978,-2.0797056418408304,3.2305352090811477,-42.25287195662488,3.4720378399599756e-7,1.841800339504102e-5,7.504573604977381,A0A433U5Y2
EGW08_002980,1.4361771161601697,4.513947027555178,20.351348768644915,1.015717467842862e-5,1.556238233304041e-4,3.4881013759511905,A0A3S0ZXN2
EGW08_002984,-2.6131619482694193,1.8559892115955559,-8.6520937514815,4.897706484855959e-4,0.002449358117629359,-1.180584639811192,A0A433U5Y5
EGW08_002986,-1.860947845599327,2.3811520522356786,-6.608230760613751,0.0015792164583845565,0.0060277384199068995,-2.584392457063246,A0A433U602
EGW08_002991,-1.500758232191818,2.4216403919008287,-7.979146896516133,6.991026419061055e-4,0.0032185687878381183,-1.6080904180803302,A0A3S1A2X4
EGW08_002992,-1.128049464145181,0.9657608852707612,-7.249685004292797,0.0010608808284885453,0.004421911342212339,-2.1082905134125163,A0A433U5X6
EGW08_002995,-1.625122006307949,0.9600813242556246,-37.01145975927412,6.412986671067176e-7,2.6597524862443204e-5,6.78405112485212,A0A3S0ZYJ4
EGW08_002997,1.2435424861586872,1.5066784620626352,9.028476018804108,4.057005595571435e-4,0.0021326751942718726,-0.954133488007006,A0A3S0ZXP9
EGW08_002999,0.9094085272894374,2.06753500762133,6.60734609793097,0.0015801182014221352,0.006030216080918911,-2.585074770957668,A0A3S1BQR5
EGW08_003003,0.966803424175489,3.7900949148122165,12.396340967016087,9.789429863988907e-5,7.437411848608504e-4,0.7584559118797447,A0A3S1ADM9
EGW08_003004,0.8115830287190842,1.8155551925781839,5.728001638068269,0.002882944352136886,0.009668272636956956,-3.3022011438227263,A0A3S1A2Y2
EGW08_003008,-0.9116026436632674,3.775803939296549,-17.336506192438467,2.121235582339534e-5,2.587430484722893e-4,2.601888214494819,A0A3S1CCW5
EGW08_003010,-1.7841620356672916,1.726814565910051,-11.092623843984542,1.6167988554241538e-4,0.0010750586484075202,0.15365630303064925,A0A433U5X8
EGW08_003011,-1.75142692897085,1.507351874253012,-11.403816883186726,1.427347102448444e-4,9.816655388486086e-4,0.3038627741032496,A0A433U5U2
EGW08_003014,-1.3910613260320686,7.185880181334414,-31.04381362279288,1.447098063665646e-6,4.474569673285316e-5,5.820104386756295,A0A3S1HZE8
EGW08_003016,-1.0212997399936032,1.576072754929622,-8.425636014916247,5.505059836034428e-4,0.002678583027843005,-1.3210831601092545,A0A433U5T9
EGW08_003018,-0.8035667167314262,7.657428106944017,-19.34095133827789,1.2837150280910292e-5,1.8209542615665089e-4,3.2064835365208317,A0A3S1A2W1
EGW08_003021,-2.1067457735362236,5.7899138856509635,-11.95015758363881,1.1555398279214272e-4,8.409722936680606e-4,0.5585081452085792,A0A3S1BIN7
EGW08_003029,-1.1946047504375148,5.5824213298019245,-47.579196924202755,2.0025419892561256e-7,1.3168782321083464e-5,8.144818530111007,A0A3S1BUQ6
EGW08_003047,1.3814360076990715,3.5744209659323998,27.411360921765002,2.572439344998459e-6,6.476670912378001e-5,5.134408875448399,A0A3S1A2U4
EGW08_003056,1.568283315453749,3.3799341930099143,20.106020754785977,1.0739951926851931e-5,1.6195413294117653e-4,3.421022683059416,A0A433U5S6
EGW08_003059,-2.0776475923783684,1.6436183359711622,-15.927703785041997,3.127072706528535e-5,3.41006635804215e-4,2.1342975367231247,A0A3S0ZXL1
EGW08_003071,0.8503032900926657,2.715129954421684,5.399727173373887,0.0036779601707730377,0.011715764867398015,-3.5915937800166704,A0A3S1BIM7
EGW08_003076,0.9999230674024058,4.456656089742373,24.36396494818798,4.4326464717757986e-6,9.121698614462077e-5,4.483416535524755,A0A3S0ZXL8
EGW08_003085,-0.8439669471983955,0.685030787763221,-8.007681116827932,6.882656416140826e-4,0.0031774139660718337,-1.5893348103314286,A0A3S0ZYF4
EGW08_003088,-0.838772240172335,4.035942784955287,-4.950507414195101,0.005231587428016941,0.015600652528943458,-4.008947876655709,A0A3S0ZXI3
EGW08_003099,-2.171553200923353,2.2309113831610925,-7.424650416008048,9.567972318796012e-4,0.0040904079535022415,-1.984535116831517,A0A433U5N9
EGW08_003102,-2.7864865900586664,2.3914114879458466,-42.126000603235354,3.5207625185278024e-7,1.8593832318534772e-5,7.4882810830191495,A0A3S1BUN2
EGW08_003105,1.0079748006776077,0.5641621306166734,8.407328119487389,5.558016137144793e-4,0.0026966545367842145,-1.3325867391792636,A0A433U5J6
EGW08_003107,3.1567536936119995,1.6275287829725569,27.729750946691965,2.438774327174292e-6,6.266521201719862e-5,5.198129040346471,A0A433U5H6
EGW08_003120,1.2242266725197757,5.254825263781243,32.92770509679819,1.1018429297803225e-6,3.773614429954961e-5,6.143852145490978,A0A3S1BQN3
EGW08_003122,-1.0214865610563804,6.0531190704873135,-6.497303024990049,0.0016972519838903716,0.006376314464502213,-2.6705289295406427,A0A3S1ADG2
EGW08_003123,-1.3642397155203434,3.8467607521508627,-7.890532578084212,7.340900090637807e-4,0.0033344231611996504,-1.6667094864098182,A0A433U5L4
EGW08_003125,-2.961432676137957,2.431350633882862,-77.55805375806516,2.0752703451386523e-8,3.1553362043824694e-6,10.686443808015085,A0A3S1CCQ8
